        65--2013.0814.2214.55       114    ---    [0.2281176000]       [            Felicia]  biquintile       [Pax                ]
        66--2013.0814.2214.55       114    ---    [0.2319556938]       [            Fortuna]  quincunx         [Bella              ]
        67--2013.0814.2214.55       114    ---    [0.2339233556]       [             Hestia]  quintile         [Adorea             ]
        68--2013.0814.2214.55       114    ---    [0.2371392406]       [         Desiderata]  biquintile       [Galilea            ]
        69--2013.0814.2214.55       114    ---    [0.2379348802]       [             Cupido]  quatronovile     [Anteros            ]
        70--2013.0814.2214.55       114    ---    [0.2406316891]       [  North Node (true)]  eleven           [Eunomia            ]
        71--2013.0814.2214.55       114    ---    [0.2406346597]       [              Vesta]  semisquare       [Adonis             ]
        72--2013.0814.2214.55       114    ---    [0.2411900513]       [               Eros]  trine            [Kama               ]
        73--2013.0814.2214.55       114    ---    [0.2416617240]       [                Sun]  quincunx         [Fidelio            ]
        74--2013.0814.2214.55       114    ---    [0.2442382889]       [              Pluto]  biquintile       [Compassion         ]
        75--2013.0814.2214.55       114    ---    [0.2503717648]       [                Sun]  biseptile        [Cupido             ]
        76--2013.0814.2214.55       114    ---    [0.2519750178]       [             Unitas]  quintile         [Lust               ]
        77--2013.0814.2214.55       114    ---    [0.2558767560]       [            Eunomia]  biseptile        [Anteros            ]
        78--2013.0814.2214.55       114    ---    [0.2607508431]       [           Ambrosia]  quintile         [Eros               ]
        79--2013.0814.2214.55       114    ---    [0.2655465339]       [             Psyche]  binovile         [Adorea             ]
        80--2013.0814.2214.55       114    ---    [0.2661830518]       [            Venusia]  triseptile       [Aphrodite          ]
        81--2013.0814.2214.55       114    ---    [0.2708350305]       [             Thalia]  sesqisquare      [Venusia            ]
        82--2013.0814.2214.55       114    ---    [0.2820007655]       [              Venus]  biquintile       [Desiderata         ]
        83--2013.0814.2214.55       114    ---    [0.2829215867]       [           Amicitia]  quintile         [Anteros            ]
        84--2013.0814.2214.55       114    ---    [0.2847715641]       [             Chiron]  quatronovile     [Adonis             ]
        85--2013.0814.2214.55       114    ---    [0.2862504895]       [             Psyche]  triseptile       [Photographia       ]
        86--2013.0814.2214.55       114    ---    [0.2862543837]       [          Concordia]  conjunct         [Amor               ]
        87--2013.0814.2214.55       114    ---    [0.2888055886]       [             Thalia]  sesqisquare      [Philosophia        ]
        88--2013.0814.2214.55       114    ---    [0.2897712123]       [              Vesta]  binovile         [Oceana             ]
        89--2013.0814.2214.55       114    ---    [0.2934575672]       [        Philosophia]  triseptile       [Aphrodite          ]
        90--2013.0814.2214.55       114    ---    [0.2956801484]       [            Eunomia]  triseptile       [Desiderata         ]
        91--2013.0814.2214.55       114    ---    [0.2968233018]       [               Mars]  sextile          [Ambrosia           ]
        92--2013.0814.2214.55       114    ---    [0.2983082602]       [            Felicia]  quatronovile     [Fiducia            ]
        93--2013.0814.2214.55       114    ---    [0.3057599603]       [              Ceres]  novile           [Pallas Athene      ]
        94--2013.0814.2214.55       114    ---    [0.3073084592]       [         Desiderata]  binovile         [Aphrodite          ]
        95--2013.0814.2214.55       114    ---    [0.3087128706]       [             Psyche]  semisquare       [Fiducia            ]
        96--2013.0814.2214.55       114    ---    [0.3095310404]       [            Eunomia]  binovile         [Philosophia        ]
        97--2013.0814.2214.55       114    ---    [0.3098450248]       [         Constantia]  biquintile       [Kama               ]
        98--2013.0814.2214.55       114    ---    [0.3115109778]       [             Hestia]  septile          [Adonis             ]
        99--2013.0814.2214.55       114    ---    [0.3122034843]       [            Jupiter]  triseptile       [Siri               ]
       100--2013.0814.2214.55       114    ---    [0.3229748074]       [             Pholus]  septile          [Felicitas          ]
       101--2013.0814.2214.55       114    ---    [0.3233464276]       [               Siri]  conjunct         [Sweet              ]
       102--2013.0814.2214.55       114    ---    [0.3266869975]       [            Mercury]  trine            [Uranus             ]
       103--2013.0814.2214.55       114    ---    [0.3274000018]       [      Pallas Athene]  binovile         [Sophia             ]
